year,Temperature,Precipitation,SeaIceFraction,CO2Concentration,EnergyBalance
1850,13.35879517,3.38E-05,7.78,284.7,0.3000
1851,13.55889893,3.40E-05,7.79,284.9,-0.2742
1852,13.59838867,3.39E-05,7.77,285.0,0.0577
1853,13.48446655,3.40E-05,7.57,285.1,-0.1679
1854,13.27786255,3.39E-05,7.64,285.3,0.1086
1855,13.45425415,3.39E-05,7.68,285.4,0.5125
1856,13.5126648,3.39E-05,7.73,285.6,-0.4586
1857,13.3460083,3.39E-05,7.86,285.7,-0.1249
1858,13.38665772,3.39E-05,7.83,285.9,0.1858
1859,13.48876953,3.39E-05,7.67,286.1,0.0907
1860,13.40646362,3.39E-05,7.86,286.2,-0.0096
1861,13.44009399,3.39E-05,7.77,286.4,0.2638
1862,13.47149658,3.39E-05,7.80,286.5,0.3052
1863,13.5295105,3.41E-05,7.82,286.6,-0.2933
1864,13.57467651,3.42E-05,7.99,286.8,-0.5524
1865,13.48352051,3.40E-05,7.97,286.9,-0.4312
1866,13.24249268,3.37E-05,8.09,287.0,0.2765
1867,13.37191773,3.38E-05,8.15,287.1,0.1917
1868,13.47531128,3.40E-05,8.04,287.2,-0.0235
1869,13.62197876,3.41E-05,7.67,287.4,-0.5223
1870,13.5050354,3.39E-05,7.83,287.5,-0.1989
1871,13.5486145,3.39E-05,7.83,287.7,-0.1753
1872,13.4737854,3.40E-05,7.65,287.9,0.0751
1873,13.52639771,3.41E-05,7.69,288.1,-0.1785
1874,13.44598389,3.39E-05,7.54,288.4,0.3412
1875,13.58999634,3.40E-05,7.48,288.7,0.1197
1876,13.57260132,3.41E-05,7.73,289.0,-0.2482
1877,13.4503479,3.39E-05,7.86,289.4,-0.1572
1878,13.38311768,3.39E-05,7.80,289.8,0.2735
1879,13.4692688,3.39E-05,7.77,290.2,0.4030
1880,13.68057251,3.42E-05,7.83,290.7,-0.3011
1881,13.61303711,3.41E-05,7.68,291.2,-0.5133
1882,13.48556519,3.39E-05,7.63,291.7,0.2977
1883,13.41986084,3.39E-05,7.49,292.1,-1.3362
1884,13.02603149,3.35E-05,7.64,292.6,-2.6901
1885,13.27545166,3.38E-05,7.77,293.0,-0.2874
1886,13.17062378,3.37E-05,7.98,293.3,-0.1560
1887,13.08520508,3.35E-05,8.01,293.6,1.2208
1888,13.33828735,3.38E-05,7.85,293.8,0.3652
1889,13.36035156,3.36E-05,7.71,294.0,0.4212
1890,13.41726685,3.39E-05,7.72,294.2,-1.3533
1891,13.45452881,3.41E-05,7.60,294.3,-1.0021
1892,13.24905396,3.38E-05,7.85,294.5,0.0536
1893,13.28659058,3.37E-05,7.72,294.6,0.7825
1894,13.50064087,3.39E-05,7.61,294.7,0.6675
1895,13.54238892,3.42E-05,7.74,294.8,-0.2691
1896,13.38397217,3.38E-05,7.90,294.9,0.5470
1897,13.45977783,3.40E-05,7.85,295.0,0.0239
1898,13.5710144,3.41E-05,7.83,295.2,0.0010
1899,13.50439453,3.40E-05,7.71,295.5,0.0905
1900,13.48242188,3.39E-05,7.79,295.8,0.2321
1901,13.66583252,3.40E-05,7.85,296.1,0.1046
1902,13.59249878,3.42E-05,7.79,296.5,-1.4891
1903,12.90362549,3.34E-05,7.90,296.8,-2.8097
1904,12.92880249,3.34E-05,8.06,297.2,0.3645
1905,13.23266602,3.36E-05,7.94,297.6,0.3199
1906,13.18692017,3.36E-05,8.03,298.1,0.5636
1907,13.2250061,3.38E-05,7.94,298.5,0.1392
1908,13.43548584,3.37E-05,7.84,298.9,0.6330
1909,13.6585083,3.40E-05,7.71,299.3,0.1082
1910,13.52380371,3.41E-05,7.84,299.7,-0.3608
1911,13.3586731,3.37E-05,7.98,300.1,0.4869
1912,13.38421631,3.39E-05,7.87,300.4,0.1332
