year,Temperature,Precipitation,SeaIceFraction,CO2Concentration,EnergyBalance
1850,13.3588,3.40E-05,7.776258,283,0.3
1851,13.5589,3.40E-05,7.793945,283,-0.2742
1852,13.59839,3.39E-05,7.770702,283,0.0577
1853,13.48447,3.40E-05,7.567086,283,-0.1679
1854,13.27786,3.39E-05,7.642879,283,0.1086
1855,13.45425,3.39E-05,7.675607,283,0.5125
1856,13.51266,3.39E-05,7.734484,284,-0.4586
1857,13.34601,3.39E-05,7.856767,284,-0.1249
1858,13.38666,3.39E-05,7.82538,284,0.1858
1859,13.48877,3.39E-05,7.672743,284,0.0907
1860,13.40646,3.39E-05,7.861166,284,-0.0096
1861,13.44009,3.39E-05,7.771335,284,0.2638
1862,13.4715,3.39E-05,7.800192,284,0.3052
1863,13.52951,3.41E-05,7.822135,284,-0.2933
1864,13.57468,3.42E-05,7.99023,284,-0.5524
1865,13.48352,3.40E-05,7.973674,284,-0.4312
1866,13.24249,3.37E-05,8.086998,284,0.2765
1867,13.37192,3.38E-05,8.153399,284,0.1917
1868,13.47531,3.40E-05,8.036618,284,-0.0235
1869,13.62198,3.41E-05,7.671129,284,-0.5223
1870,13.50504,3.39E-05,7.826645,284,-0.1989
1871,13.54861,3.39E-05,7.82664,284,-0.1753
1872,13.47379,3.40E-05,7.646228,284,0.0751
1873,13.5264,3.41E-05,7.688748,284,-0.1785
1874,13.44598,3.39E-05,7.539298,284,0.3412
1875,13.59,3.40E-05,7.483545,284,0.1197
1876,13.5726,3.41E-05,7.729537,284,-0.2482
1877,13.45035,3.39E-05,7.864632,284,-0.1572
1878,13.38312,3.39E-05,7.804498,284,0.2735
1879,13.46927,3.39E-05,7.773254,284,0.403
1880,13.68057,3.42E-05,7.825767,284,-0.3011
1881,13.61304,3.41E-05,7.675151,284,-0.5133
1882,13.48557,3.39E-05,7.632843,284,0.2977
1883,13.41986,3.39E-05,7.489764,284,-1.3362
1884,13.02603,3.35E-05,7.636172,284,-2.6901
1885,13.27545,3.38E-05,7.765268,284,-0.2874
1886,13.17062,3.37E-05,7.979294,284,-0.156
1887,13.08521,3.35E-05,8.012839,283,1.2208
1888,13.33829,3.38E-05,7.850922,283,0.3652
1889,13.36035,3.36E-05,7.713658,283,0.4212
1890,13.41727,3.39E-05,7.723998,283,-1.3533
1891,13.45453,3.41E-05,7.603841,284,-1.0021
1892,13.24905,3.38E-05,7.85151,284,0.0536
1893,13.28659,3.37E-05,7.721987,284,0.7825
1894,13.50064,3.39E-05,7.611485,284,0.6675
1895,13.54239,3.42E-05,7.739242,284,-0.2691
1896,13.38397,3.38E-05,7.89818,284,0.547
1897,13.45978,3.40E-05,7.84957,284,0.0239
1898,13.57101,3.41E-05,7.83301,285,0.001
1899,13.50439,3.40E-05,7.714069,285,0.0905
1900,13.48242,3.39E-05,7.790972,285,0.2321
1901,13.66583,3.40E-05,7.852776,285,0.1046
1902,13.5925,3.42E-05,7.789385,285,-1.4891
1903,12.90363,3.34E-05,7.897551,285,-2.8097
1904,12.9288,3.34E-05,8.058215,285,0.3645
1905,13.23267,3.36E-05,7.935437,286,0.3199
1906,13.18692,3.36E-05,8.026566,286,0.5636
1907,13.22501,3.38E-05,7.937551,286,0.1392
1908,13.43549,3.37E-05,7.836721,286,0.633
1909,13.65851,3.40E-05,7.707248,286,0.1082
1910,13.5238,3.41E-05,7.844147,286,-0.3608
1911,13.35867,3.37E-05,7.983294,287,0.4869
1912,13.38422,3.39E-05,7.866938,287,0.1332
1913,13.36374,3.38E-05,7.877894,287,-0.3991
1914,13.47955,3.38E-05,7.71162,287,0.2867
1915,13.48071,3.39E-05,7.678508,287,0.2937
1916,13.62115,3.40E-05,7.701272,287,0.4011
1917,13.63611,3.40E-05,7.802363,287,-0.2782
1918,13.49814,3.39E-05,7.647613,287,0.3401
1919,13.59482,3.39E-05,7.666243,288,0.8581
1920,13.69623,3.40E-05,7.692372,288,0.1006
1921,13.58008,3.39E-05,7.596915,288,0.1579
